-8.123003413845608520e+02,-6.630430969065788815e+01,-1.328506677388539572e+02,5.673860144152262563e+01,-4.921067714827730555e+01,8.904322248352364966e+00,1.492007859330206720e+01,1.484151756341348971e+01,-2.138879849232065311e+00,-1.592949671072279028e+00,5.926729786793943688e+00,-9.167019540667887156e+00,2.458304285567617953e+01,1.729240136912537551e+01,1.337498948208156158e+01,1.810769548732669776e+01,1.139653253575793102e+01,9.211978294840138304e+00,1.063771232078389772e+01,1.143213781723128797e+01,1.160130062930148576e+01,1.143646804786666138e+01,9.155690939799466577e+00,9.503341999353187575e+00
-8.096068771141129901e+02,-7.891219960951879386e+01,-1.262302658819207153e+02,4.891374657961107175e+01,-5.997903201123457961e+01,1.126577851835276434e+01,-5.193996795964549440e-01,2.204960939875089210e+01,-4.202539897175995520e+00,6.229581725606422538e+00,7.202317712652839266e-01,-1.879210402209933628e+00,2.494880203144382946e+01,1.850056400595361339e+01,1.198063521752891880e+01,1.590919752375036822e+01,1.381950849853633656e+01,9.211434340659861775e+00,8.585113898408785360e+00,9.513025776821598001e+00,8.403566040750146016e+00,8.378664864456444761e+00,8.086323103479905683e+00,9.103725552398026721e+00
-8.663401375411940535e+02,-1.228953807673562153e+02,-1.145435169730753842e+02,5.885487002760110897e+01,-2.269463339891374076e+01,2.526323130880698287e+01,-1.608452050097617159e+00,1.597317505797131432e+01,-2.197750447029655874e+01,8.078402810700469061e+00,-6.386606584983876900e+00,4.783227048167254303e+00,1.979807320901219114e+01,1.761377184542377350e+01,1.022011230216268807e+01,1.191832853288130778e+01,8.999044977284423652e+00,8.443429801472488450e+00,9.209731875666994583e+00,8.839077707798004724e+00,8.254101528216370554e+00,8.787377098908542905e+00,8.524281174611193279e+00,9.093678761730384252e+00
-7.766326077449317609e+02,-1.414453727341361571e+02,-9.442111836580812678e+01,3.076147467698128679e+01,-1.323627412946330395e+01,1.176730339408055670e+01,8.412719421018387322e+00,1.725179747792267904e+01,-1.624781042739223835e+01,5.718618454362699666e+00,-9.396744354194721538e+00,6.773279147018125279e+00,1.994275767706969305e+01,1.739770074610378714e+01,1.118766134319427863e+01,1.416577812274612569e+01,1.028399656836927534e+01,9.241516784909203253e+00,9.389401324822008732e+00,9.416513156126731232e+00,8.911722399140579398e+00,8.583949006458411191e+00,7.672632174432802543e+00,9.551641040939152560e+00
-7.481509539503207407e+02,-8.381626758212861716e+01,-1.097799809607178645e+02,3.141676346949227749e+01,-3.697384169028705969e+01,6.285019590138123391e+00,6.369558843005798998e+00,2.547743338424206527e+01,-1.307257415481235618e+01,1.119201643336818641e+01,-6.202792868531990855e+00,4.052203978612356039e+00,2.625329114334214253e+01,1.982357559143552805e+01,1.045655055636251340e+01,1.435123557301956865e+01,9.959373386794689864e+00,9.350779736977324674e+00,9.619734658128711757e+00,1.126117256154130430e+01,9.504684761892866263e+00,1.115383417641734987e+01,9.114749529666342553e+00,9.507242288155437038e+00
-7.568329710337294500e+02,-1.129819544471279187e+02,-1.108452331284095891e+02,5.252881044765710072e+01,-2.123762027868536251e+01,1.616966324593921200e+01,6.490832621818583448e+00,1.839662900082122476e+01,-2.242656859394389812e+01,6.901390895584943230e+00,-8.277664788996892398e+00,6.651864252872321970e+00,2.360900491966670245e+01,1.797572291604171824e+01,9.992811436862739427e+00,1.308825701457627133e+01,9.672659214396301053e+00,9.369406217667092918e+00,1.069864009602619603e+01,1.260837139311999522e+01,1.009132123488053168e+01,1.103775507464376204e+01,8.632843713703927335e+00,9.629442125043604861e+00
-7.539858791362734109e+02,-1.195448883745057742e+02,-8.837673070726749813e+01,1.428657031964534241e+01,-1.489202835828962179e+01,-3.334976343347243688e+00,1.806318014904293179e+01,1.570946608276233647e+01,-8.751664617377011623e+00,6.252712263657478786e+00,-6.523216875666257408e+00,3.027202776328400624e+00,2.136366196603279022e+01,1.635302204106809043e+01,1.092153581078807889e+01,1.413473201410197433e+01,1.011857788346712006e+01,9.337946666050520150e+00,1.023365526311001084e+01,9.315158712112383554e+00,8.938578544033198625e+00,9.430606697120540005e+00,9.146346060898173036e+00,1.021452294673696848e+01
-7.987133088588400369e+02,-1.074162997355217044e+02,-1.213770757953265047e+02,5.607966740356716429e+01,-2.733806834865168511e+01,2.201484739734808471e+01,1.819662201186769135e+00,2.021819443862727184e+01,-1.871517631611478194e+01,4.724231184011121520e+00,-6.980912761309841841e+00,3.734992485259807538e+00,2.242498410932254060e+01,1.632854941324985987e+01,9.593995714431736488e+00,1.215513840779554045e+01,1.046242011821208351e+01,9.284891761612495742e+00,9.216081967359800231e+00,9.497923900704542177e+00,8.545483119093262303e+00,9.164035984639275156e+00,8.275587237010226360e+00,9.337660995932928643e+00
-7.602742400623837966e+02,-9.637190589639780569e+01,-1.228486670059586743e+02,5.824188746898376223e+01,-3.692462638294666988e+01,1.749890711033922130e+01,1.017090745212653857e+01,1.871418316106475643e+01,-1.666607537547563567e+01,5.285753835387356325e+00,-6.064594647464659261e+00,5.973493857217906239e-02,2.433724244536500336e+01,2.057042911067587454e+01,8.810773140546334758e+00,1.373549276543825570e+01,1.157424813416306186e+01,1.007078102135474573e+01,9.166116537979609902e+00,1.076878033035638360e+01,1.059061212974737387e+01,1.039149467084519429e+01,8.713117821003747210e+00,8.990630901693197785e+00
-7.850751754486498157e+02,-9.127026410660116085e+01,-1.183618574777533325e+02,3.750655452853238359e+01,-4.742380927091755183e+01,9.396639537679817522e+00,7.036656581092307627e-01,2.696990753363622062e+01,-1.119267560310909104e+01,9.924483736040437876e+00,-4.564753641595432399e+00,1.854982503081254341e+00,2.405009416107472475e+01,1.970485162423655368e+01,1.006242062393462611e+01,1.325980015345749408e+01,9.382065213282785976e+00,8.521711754860906041e+00,9.346485281496830666e+00,9.011188445435378114e+00,8.529127479493487485e+00,9.100844229173778999e+00,8.386058514751766779e+00,9.666754690645207759e+00
-7.719517063578172156e+02,-1.027916859536386482e+02,-1.096522374748676327e+02,3.032395796627741191e+01,-3.213694722409432103e+01,1.136776763487573483e+01,6.985444268729967376e+00,2.506762223427186598e+01,-1.379182781658400359e+01,6.764562120383958543e+00,-7.696426579344834096e+00,3.363419655892264437e+00,2.390260537475453972e+01,1.987118024733003452e+01,8.552155451601919367e+00,1.407910005592693814e+01,1.092825573069395162e+01,9.436373538629462487e+00,8.776245720976097786e+00,9.085975341333448085e+00,8.325883066325509674e+00,8.776355219352879544e+00,7.537634072371788285e+00,9.349272622813602496e+00
-7.333192294499100399e+02,-1.367018858688441583e+02,-1.402129294091149916e+02,1.209187424462302971e+02,-3.241249991774721195e+01,2.333894310572584274e+01,-1.689019244606569359e+01,3.565348568339888669e+00,-3.955687606006011325e+00,2.690686919361866547e+00,1.756468110110774861e+00,-4.606894900275036342e+00,1.468765517093989281e+01,1.166446869968699929e+01,1.141424409305824561e+01,1.205747609889301586e+01,1.063902676875562214e+01,9.316924044553905659e+00,8.852803731547211896e+00,9.826966330237626224e+00,8.872304359695753817e+00,9.107896459266367373e+00,7.174164934627865087e+00,6.949182830853326998e+00
