Selection;View;Channel;Duet;Agg.Entropy..bits.;Avg.Entropy..bits.;Peak.Freq..Hz.;Delta.Freq..Hz.;Delta.Time..s.;Max.Entropy..bits.;Min.Entropy..bits.;PFC.Avg.Slope..Hz.ms.;PFC.Max.Freq..Hz.;PFC.Max.Slope..Hz.ms.;PFC.Min.Freq..Hz.;PFC.Min.Slope..Hz.ms.;Peak.Time.Relative;Time.25..Rel.;Time.5..Rel.;Time.75..Rel.;Time.95..Rel.;Begin.Time..s.;End.Time..s.;High.Freq..Hz.;Low.Freq..Hz.;Freq.5...Hz.;Freq.95...Hz.;Center.Time..s.;Dur.90...s.;Freq.25...Hz.;Freq.75...Hz.;BW.50...Hz.;BW.90...Hz.;Time.25...s.;Time.95...s.;Dur.50...s.;Sex;Species;Individual;Sex_Species;Begin.File
1;Spectrogram 1;1;1;3.588;2.802;1722.656;2504.9;2.0976;4.046;1.358;-0.206;2583.984;192.89;775.195;-178.053;0.6399;0.277;0.0859;0.7562;0.9501;1.375329469;3.47295427;3255.3;750.4;1291.992;2153.32;2.5658;1.8112;1636.523;1894.922;258.398;861.328;1.9563;3.3669;1.0043;1;T_doliatus;G1_I1_T_doliatus;1_T_doliatus;T0001.WAV
2;Spectrogram 1;1;1;4.144;3.216;1636.523;2712.9;1.4941;4.143;1.653;-1.043;2411.719;178.053;775.195;-148.377;0.2422;0.1797;0.0156;0.6406;0.8672;3.403693074;4.897756022;3405.6;692.7;861.328;2325.586;4.017;1.2655;1378.125;1808.789;430.664;1464.258;3.6745;4.6962;0.685;2;T_doliatus;G1_2_T_doliatus;2_T_doliatus;T0001.WAV
3;Spectrogram 1;1;1;3.837;2.944;1550.391;2764;1.8701;3.898;1.539;0.046;2325.586;148.377;1033.594;-148.377;0.3364;0.3364;0.1371;0.8131;0.947;7.264982218;9.135034517;3746.7;982.7;1119.727;2153.32;8.3069;1.5093;1378.125;1808.789;430.664;1033.594;7.8948;9.0326;0.8882;1;T_doliatus;G1_1_T_doliatus;1_T_doliatus;T0001.WAV
4;Spectrogram 1;1;0;3.862;3.049;1550.391;3255.3;1.9987;4.206;1.503;-0.087;2153.32;163.215;947.461;-178.053;0.309;0.379;0.1312;0.8251;0.9534;13.38220747;15.3808877;4176.6;921.3;1033.594;2153.32;14.5647;1.637;1464.258;1808.789;344.531;1119.727;14.1409;15.2845;0.8882;2;T_doliatus;G1_2_T_doliatus;2_T_doliatus;T0001.WAV
5;Spectrogram 1;1;1;3.678;3.013;1808.789;3009.7;2.2263;4.049;1.426;0;2153.32;192.89;775.195;-178.053;0.9556;0.483;0.1828;0.8668;0.9582;27.21127868;29.43753142;3746.7;737;1033.594;2067.188;28.845;1.7241;1550.391;1808.789;258.398;1033.594;28.2877;29.3442;0.8533;2;T_doliatus;G1_2_T_doliatus;2_T_doliatus;T0001.WAV
6;Spectrogram 1;1;1;3.603;2.856;1808.789;2886.8;2.622;4.177;1.402;-0.164;2239.453;192.89;947.461;-178.053;0.184;0.1752;0.0377;0.6208;0.8537;28.85375848;31.47578948;3808.1;921.3;1119.727;2067.188;29.8957;2.1362;1550.391;1808.789;258.398;947.461;29.3152;31.0915;1.1668;1;T_doliatus;G1_1_T_doliatus;1_T_doliatus;T0001.WAV
7;Spectrogram 1;1;0;3.711;3.044;1550.391;3685.2;1.7909;4.339;1.419;-0.048;2325.586;192.89;861.328;-148.377;0.6851;0.3636;0.1494;0.7532;0.9481;31.75283426;33.54373091;4483.7;798.5;1033.594;2067.188;32.833;1.428;1464.258;1722.656;258.398;1033.594;32.4034;33.4483;0.6966;2;T_doliatus;G1_2_T_doliatus;2_T_doliatus;T0001.WAV
8;Spectrogram 1;1;1;3.674;2.964;1636.523;2702.5;2.5231;4.081;1.402;-0.034;2411.719;178.053;947.461;-163.215;0.7113;0.3972;0.1848;0.7945;0.9677;40.63507106;43.15815749;3623.8;921.3;1119.727;2067.188;42.179;1.9679;1464.258;1808.789;344.531;947.461;41.6392;43.073;0.9985;2;T_doliatus;G1_2_T_doliatus;2_T_doliatus;T0001.WAV
9;Spectrogram 1;1;1;3.704;3.033;1722.656;2763.9;1.9789;4.145;1.423;0.219;2670.117;192.89;861.328;-163.215;0.3735;0.2794;0.0794;0.7529;0.9529;43.09879075;45.07768207;3623.8;859.9;1033.594;2239.453;44.0366;1.7241;1636.523;1894.922;258.398;1205.859;43.6535;44.9828;0.9346;1;T_doliatus;G1_1_T_doliatus;1_T_doliatus;T0001.WAV
10;Spectrogram 1;1;0;3.918;3.132;1636.523;2886.8;1.9492;4.104;1.652;0;2325.586;207.728;775.195;-163.215;0.5522;0.3075;0.0836;0.7224;0.9522;45.87957742;47.82878538;3623.8;737;861.328;2067.188;46.9275;1.6893;1378.125;1722.656;344.531;1205.859;46.4805;47.7344;0.8069;2;T_doliatus;G1_2_T_doliatus;2_T_doliatus;T0001.WAV
11;Spectrogram 1;1;0;3.978;3.008;1722.656;3071;2.2658;4.115;1.528;0.344;2497.852;178.053;861.328;-163.215;0.3548;0.3522;0.1183;0.8046;0.9743;53.72044105;55.98627162;3869.5;798.5;947.461;2325.586;54.9906;1.9331;1464.258;1808.789;344.531;1378.125;54.5204;55.9252;1.0217;2;T_doliatus;G1_2_T_doliatus;2_T_doliatus;T0001.WAV
1;Spectrogram 1;1;0;3.768;2.942;2497.852;2040.8;1.9304;4.06;1.091;0.045;2497.852;207.728;1291.992;-207.728;0.4471;0.2931;0.0785;0.7311;0.9426;32.57816719;34.50855365;3306.1;1265.3;1291.992;2497.852;33.5354;1.6602;1378.125;2067.188;689.062;1205.859;33.1465;34.3945;0.8417;2;H_atricapillus;G2_1_H_atricapillus;2_H_atricapillus;T0002.WAV
2;Spectrogram 1;1;0;3.854;2.961;2239.453;2204;1.7649;3.976;1.637;-0.147;2497.852;207.728;1291.992;-192.89;0.6931;0.3366;0.0759;0.6931;0.9373;65.15188897;66.91681373;3428.5;1224.5;1291.992;2497.852;66.055;1.5151;1378.125;2239.453;861.328;1205.859;65.7473;66.8038;0.6269;2;H_atricapillus;G2_1_H_atricapillus;2_H_atricapillus;T0002.WAV
1;Spectrogram 1;1;0;3.464;2.987;1894.922;2883.4;2.0373;4.099;1.449;0.085;2497.852;326.43;602.93;-326.43;0.72;0.3229;0.0857;0.7514;0.9314;39.54062351;41.57794426;3448.8;565.4;689.062;1981.055;40.6465;1.7183;1636.523;1894.922;258.398;1291.992;40.1995;41.436;0.8707;2;T_pelzelni;G3_1_T_pelzelni;2_T_pelzelni;T0003.WAV
2;Spectrogram 1;1;0;3.443;2.975;1808.789;2374.6;2.4154;4.121;1.476;0.215;2583.984;311.592;689.062;-311.592;0.3952;0.3084;0.0916;0.7639;0.9108;47.79492306;50.21030333;2996.5;621.9;861.328;1981.055;49.1392;1.9737;1636.523;1894.922;258.398;1119.727;48.5413;49.9926;1.0971;2;T_pelzelni;G3_1_T_pelzelni;2_T_pelzelni;T0003.WAV
3;Spectrogram 1;1;0;3.433;3.039;1894.922;2318.1;2.1843;4.18;1.44;0.158;2670.117;326.43;775.195;-311.592;0.6915;0.3644;0.0904;0.7713;0.9335;56.44623776;58.63058166;3053.1;735;861.328;1981.055;57.7712;1.8402;1636.523;1894.922;258.398;1119.727;57.243;58.4852;0.8882;2;T_pelzelni;G3_1_T_pelzelni;2_T_pelzelni;T0003.WAV
4;Spectrogram 1;1;0;3.299;2.994;1894.922;2261.6;2.3104;4.069;1.475;-0.037;2583.984;326.43;689.062;-296.754;0.6625;0.3123;0.0957;0.7406;0.9043;63.54799305;65.85835679;2883.5;621.9;947.461;1981.055;64.7256;1.8634;1636.523;1894.922;258.398;1033.594;64.2728;65.637;0.9868;2;T_pelzelni;G3_1_T_pelzelni;2_T_pelzelni;T0003.WAV
5;Spectrogram 1;1;0;3.219;3.011;1894.922;2770.4;2.4364;4.073;1.444;-0.071;2153.32;178.053;689.062;-207.728;0.9069;0.4129;0.1146;0.7995;0.9117;73.82186504;76.25824862;3392.3;621.9;1033.594;1981.055;75.2617;1.9389;1636.523;1894.922;258.398;947.461;74.8263;76.0395;0.9404;2;T_pelzelni;G3_1_T_pelzelni;2_T_pelzelni;T0003.WAV
6;Spectrogram 1;1;0;3.299;2.965;1808.789;2600.7;2.3524;4.211;1.417;-0.074;2153.32;207.728;689.062;-237.404;0.5149;0.3292;0.1089;0.7426;0.8985;82.66425718;85.01662753;3279.2;678.5;947.461;1981.055;83.9169;1.8518;1636.523;1894.922;258.398;1033.594;83.4409;84.776;0.9694;2;T_pelzelni;G3_1_T_pelzelni;2_T_pelzelni;T0003.WAV
7;Spectrogram 1;1;0;3.18;2.911;1894.922;2713.9;2.0583;4.186;1.377;-0.042;2067.188;178.053;861.328;-163.215;0.7139;0.3088;0.0595;0.7224;0.9037;91.55796686;93.61629092;3505.4;791.5;1291.992;1981.055;92.6534;1.7299;1636.523;1894.922;258.398;689.062;92.1948;93.4139;0.8475;2;T_pelzelni;G3_1_T_pelzelni;2_T_pelzelni;T0003.WAV
8;Spectrogram 1;1;0;3.154;3.075;1894.922;2996.5;2.1633;4.283;1.437;0.04;2067.188;192.89;775.195;-192.89;0.6962;0.3199;0.0806;0.7688;0.9274;105.3462372;107.5095778;3731.5;735;1205.859;1981.055;106.4867;1.8286;1722.656;1894.922;172.266;775.195;106.0397;107.3516;0.9694;2;T_pelzelni;G3_1_T_pelzelni;2_T_pelzelni;T0003.WAV
1;Spectrogram 1;1;0;4.248;3.383;2411.719;3405.7;2.0116;4.575;1.504;0.086;4220.508;445.132;947.461;-563.833;0.5884;0.4783;0.1855;0.7855;0.9362;4.993088337;7.004654903;4271.5;865.8;1033.594;2497.852;6.281;1.5035;1722.656;2325.586;602.93;1464.258;5.9559;6.8731;0.6153;2;H_atricapillus;G4_1_H_atricapillus;2_H_atricapillus;T0004.WAV
2;Spectrogram 1;1;0;3.959;3.316;2239.453;3174.7;2.0304;4.552;1.454;-0.043;2497.852;237.404;1119.727;-237.404;0.8453;0.5186;0.2521;0.8424;0.9628;13.95453645;15.9849027;4213.7;1039;1205.859;2497.852;15.3252;1.4396;1894.922;2325.586;430.664;1291.992;15.0059;15.9057;0.656;2;H_atricapillus;G4_1_H_atricapillus;2_H_atricapillus;T0004.WAV
3;Spectrogram 1;1;0;4.254;3.319;2411.719;3752;2.1714;4.783;1.484;0;2497.852;281.917;861.328;-281.917;0.5845;0.4048;0.1582;0.7426;0.874;23.38837433;25.55973824;4560.1;808.1;861.328;2497.852;24.6073;1.5499;1636.523;2325.586;689.062;1636.523;24.2706;25.2865;0.7314;2;H_atricapillus;G4_1_H_atricapillus;2_H_atricapillus;T0004.WAV
4;Spectrogram 1;1;0;4.156;3.495;2325.586;3521.1;1.8236;4.812;1.665;0.095;2842.383;281.917;689.062;-281.917;0.7796;0.4121;0.147;0.7796;0.8946;34.61551694;36.43908663;4156;634.9;775.195;2497.852;35.6949;1.3584;1550.391;2325.586;775.195;1722.656;35.3698;36.2463;0.6676;2;H_atricapillus;G4_1_H_atricapillus;2_H_atricapillus;T0004.WAV
5;Spectrogram 1;1;0;4.415;3.496;2067.188;3809.7;2.3782;4.72;1.576;-0.073;2756.25;326.43;602.93;-311.592;0.777;0.4167;0.1422;0.7353;0.8897;42.48212213;44.8602826;4386.9;577.2;689.062;2497.852;43.8857;1.7705;1464.258;2325.586;861.328;1808.789;43.4735;44.5939;0.7546;2;H_atricapillus;G4_1_H_atricapillus;2_H_atricapillus;T0004.WAV
6;Spectrogram 1;1;0;3.835;3.391;2325.586;4040.5;2.0398;4.826;1.408;0.128;3273.047;252.241;947.461;-400.619;0.6771;0.4343;0.2029;0.7171;0.8657;49.83283994;51.87260604;4964.1;923.6;1119.727;2497.852;51.0026;1.3468;2067.188;2411.719;344.531;1378.125;50.7182;51.5947;0.5747;2;H_atricapillus;G4_1_H_atricapillus;2_H_atricapillus;T0004.WAV
7;Spectrogram 1;1;0;3.812;3.235;2411.719;3809.7;2.209;4.616;1.41;-0.196;2583.984;252.241;1033.594;-252.241;0.5989;0.4433;0.2586;0.7388;0.8865;60.53119863;62.74016191;4791;981.3;1205.859;2497.852;61.8521;1.3816;1981.055;2411.719;430.664;1291.992;61.5096;62.4849;0.6502;2;H_atricapillus;G4_1_H_atricapillus;2_H_atricapillus;T0004.WAV
8;Spectrogram 1;1;0;3.946;3.511;2411.719;3925.2;2.0774;4.689;1.602;0.042;2928.516;296.754;689.062;-311.592;0.5197;0.4129;0.2022;0.6461;0.8708;69.98526945;72.06263492;4560.1;634.9;861.328;2497.852;71.0705;1.3816;1808.789;2411.719;602.93;1636.523;70.8441;71.7903;0.4818;2;H_atricapillus;G4_1_H_atricapillus;2_H_atricapillus;T0004.WAV
9;Spectrogram 1;1;0;4.579;3.33;3014.648;3636.5;2.1526;4.85;1.429;-0.121;4565.039;356.105;1119.727;-400.619;0.4108;0.4108;0.2703;0.6757;0.8676;78.8270657;80.97962993;4675.5;1039;1464.258;3531.445;79.8128;1.2829;1894.922;2497.852;602.93;2067.188;79.7141;80.6951;0.5689;2;H_atricapillus;G4_1_H_atricapillus;2_H_atricapillus;T0004.WAV
10;Spectrogram 1;1;0;3.448;3.211;2153.32;3405.6;2.0398;4.538;1.308;-0.085;2497.852;252.241;1033.594;-237.404;0.8171;0.4771;0.2714;0.7686;0.88;87.53567844;89.57544454;4386.9;981.3;1722.656;2497.852;88.8047;1.2365;2067.188;2325.586;258.398;775.195;88.5087;89.3272;0.5921;2;H_atricapillus;G4_1_H_atricapillus;2_H_atricapillus;T0004.WAV
11;Spectrogram 1;1;0;4.237;3.583;2411.719;4271.4;2.2184;4.792;1.578;-0.117;2928.516;296.754;516.797;-370.943;0.4357;0.3885;0.1706;0.7612;0.8819;96.82404879;99.04241192;4733.2;461.8;775.195;2497.852;98.0346;1.5732;1808.789;2325.586;516.797;1722.656;97.6863;98.7777;0.8243;2;H_atricapillus;G4_1_H_atricapillus;2_H_atricapillus;T0004.WAV
1;Spectrogram 1;1;1;3.846;2.953;1894.922;2530.6;2.5584;4.209;1.468;-0.067;2411.719;207.728;861.328;-252.241;0.2773;0.3636;0.1045;0.7932;0.9273;4.067078153;6.625481451;3306.1;775.5;947.461;2239.453;5.5496;2.1014;1636.523;1981.055;344.531;1291.992;4.9981;6.4377;1.0971;2;H_atricapillus;G5_1_H_atricapillus;2_H_atricapillus;T0005.WAV
2;Spectrogram 1;1;1;3.69;3.05;775.195;2081.6;2.8159;4.1;1.572;0.061;2325.586;281.917;689.062;-252.241;0.6736;0.3079;0.0785;0.7541;0.9318;8.234540129;11.05039282;2734.7;653.1;689.062;2067.188;9.9265;2.3975;775.195;1291.992;516.797;1378.125;9.1022;10.8553;1.2539;1;H_atricapillus;G5_2_H_atricapillus;1_H_atricapillus;T0005.WAV
3;Spectrogram 1;1;0;4.278;3.338;516.797;2775.4;2.671;4.601;1.982;-0.162;2239.453;281.917;430.664;-296.754;0.2593;0.2593;0.0828;0.7495;0.9434;41.39383698;44.06487438;3183.6;408.2;430.664;2067.188;42.7363;2.293;602.93;1808.789;1205.859;1636.523;42.0862;43.9089;1.3061;2;H_atricapillus;G5_1_H_atricapillus;2_H_atricapillus;T0005.WAV
1;Spectrogram 1;1;1;3.761;3.039;1550.391;1551;1.5171;3.94;1.48;0.171;2411.719;252.241;947.461;-252.241;0.7577;0.3923;0.1615;0.8308;0.9423;9.836510631;11.35358087;2449;898;1033.594;2153.32;10.7276;1.1784;1464.258;1808.789;344.531;1119.727;10.4316;11.2617;0.6618;2;T_doliatus;G6_1_T_doliatus;2_T_doliatus;T0006.WAV
2;Spectrogram 1;1;1;4.026;3.236;2239.453;2122.4;2.8577;4.415;1.54;-0.06;3100.781;252.241;1033.594;-267.079;0.9389;0.2892;0.0326;0.9043;0.9613;11.28301947;14.14075644;3102;979.6;1378.125;2497.852;13.1483;2.6471;1722.656;2239.453;516.797;1119.727;12.1092;14.0248;1.7531;1;T_doliatus;G6_2_T_doliatus;1_T_doliatus;T0006.WAV
3;Spectrogram 1;1;0;4.137;3.273;2067.188;2122.4;2.0463;4.307;1.608;-0.253;2756.25;326.43;775.195;-326.43;0.8864;0.3267;0.108;0.7472;0.8977;17.00096746;19.04724826;2857.1;734.7;947.461;2497.852;18.1812;1.6138;1550.391;2067.188;516.797;1550.391;17.6704;18.8372;0.8591;2;T_doliatus;G6_1_T_doliatus;2_T_doliatus;T0006.WAV
4;Spectrogram 1;1;1;4.492;3.304;3100.781;2366.6;2.2203;4.345;1.516;0.584;3100.781;281.917;861.328;-281.917;0.4869;0.4529;0.1963;0.8246;0.9581;30.94541067;33.16571366;3174.7;808.1;1119.727;3014.648;32.2003;1.6893;1722.656;2756.25;1033.594;1894.922;31.9506;33.071;0.8243;2;T_doliatus;G6_1_T_doliatus;2_T_doliatus;T0006.WAV
5;Spectrogram 1;1;1;4.32;3.446;2239.453;2886.1;2.7567;4.691;1.63;0.22;3531.445;445.132;775.195;-400.619;0.9325;0.2954;0.1203;0.8903;0.9473;33.32787062;36.08453893;3578.8;692.7;1033.594;2583.984;34.946;2.2756;1722.656;2239.453;516.797;1550.391;34.1449;35.9387;1.637;1;T_doliatus;G6_2_T_doliatus;1_T_doliatus;T0006.WAV
6;Spectrogram 1;1;0;4.366;3.569;2153.32;2828.4;2.133;4.639;1.634;0.041;3445.312;459.969;775.195;-430.294;0.9262;0.4536;0.1503;0.918;0.9536;38.77446998;40.90745768;3521.1;692.7;947.461;2583.984;40.2402;1.7067;1464.258;2153.32;689.062;1636.523;39.7409;40.8033;0.9868;2;T_doliatus;G6_1_T_doliatus;2_T_doliatus;T0006.WAV
7;Spectrogram 1;1;1;4.584;3.673;2239.453;2770.7;1.9584;4.545;1.716;0.089;3186.914;296.754;602.93;-445.132;0.8988;0.3929;0.119;0.8899;0.9435;50.36110009;52.31945722;3290.2;519.5;602.93;2670.117;51.676;1.608;1205.859;2067.188;861.328;2067.188;51.1303;52.2043;0.9694;2;T_doliatus;G6_1_T_doliatus;2_T_doliatus;T0006.WAV
8;Spectrogram 1;1;1;4.113;3.459;2153.32;2828.4;2.8814;4.594;1.53;0.541;3445.312;400.619;775.195;-385.781;0.9455;0.396;0.1515;0.8263;0.9535;53.79134347;56.67274791;3521.1;692.7;1119.727;2583.984;55.6408;2.3046;1636.523;2067.188;430.664;1464.258;54.9326;56.5348;1.2365;1;T_doliatus;G6_2_T_doliatus;1_T_doliatus;T0006.WAV
9;Spectrogram 1;1;0;4.201;3.458;2153.32;2655.3;2.0831;4.653;1.475;0.125;3273.047;356.105;689.062;-445.132;0.9358;0.4525;0.1453;0.9274;0.9497;62.66121361;64.74430686;3290.2;634.9;947.461;2497.852;64.1045;1.6718;1550.391;2153.32;602.93;1550.391;63.6052;64.6385;0.9868;2;T_doliatus;G6_1_T_doliatus;2_T_doliatus;T0006.WAV
1;Spectrogram 1;1;1;4.036;3.26;2153.32;3053.623;1.9653;4.639;1.478;-1.01;3445.312;430.294;516.797;-415.456;0.9379;0.5296;0.2456;0.926;0.9615;3.67418499;5.639491982;3515.217;461.594;1291.992;2325.586;5.0271;1.4048;1550.391;2067.188;516.797;1033.594;4.7136;5.5612;0.7779;2;T_doliatus;G7_1_T_doliatus;2_T_doliatus;T0007.mpeg
2;Spectrogram 1;1;1;3.846;3.04;2239.453;2485.507;2.7797;4.306;1.365;0.466;3014.648;400.619;689.062;-385.781;0.9644;0.3766;0.1213;0.8536;0.9749;5.883326597;8.663041202;3089.13;603.623;1378.125;2411.719;7.7206;2.3684;1636.523;1981.055;344.531;1033.594;6.9311;8.5914;1.3235;1;T_doliatus;G7_2_T_doliatus;1_T_doliatus;T0007.mpeg
3;Spectrogram 1;1;0;3.814;2.991;1636.523;2521.015;1.9604;4.467;1.112;-0.572;2928.516;415.456;516.797;-400.619;0.7567;0.5312;0.1395;0.8902;0.9674;12.91977859;14.88020889;2982.609;461.594;1291.992;2239.453;14.2977;1.6196;1550.391;1894.922;344.531;947.461;13.961;14.8143;0.7024;2;T_doliatus;G7_1_T_doliatus;2_T_doliatus;T0007.mpeg
4;Spectrogram 1;1;1;4.049;3.102;2153.32;2947.101;1.8434;4.734;1.565;-0.374;2497.852;222.566;430.664;-222.566;0.9464;0.4511;0.1356;0.8801;0.9653;25.10549125;26.94888094;3373.188;426.087;1119.727;2325.586;26.3372;1.5267;1550.391;1981.055;430.664;1205.859;25.9367;26.8829;0.7895;2;T_doliatus;G7_1_T_doliatus;2_T_doliatus;T0007.mpeg
5;Spectrogram 1;1;1;3.86;3.084;2325.586;2769.565;2.5554;4.594;1.378;0.27;3100.781;430.294;516.797;-445.132;0.9613;0.4465;0.1253;0.8747;0.9772;27.48531709;30.04070385;3231.159;461.594;1378.125;2411.719;29.1817;2.1711;1636.523;1981.055;344.531;1033.594;28.6244;29.977;1.0913;1;T_doliatus;G7_2_T_doliatus;1_T_doliatus;T0007.mpeg
6;Spectrogram 1;1;0;3.919;3.059;2239.453;2734.058;1.8873;4.524;1.444;0.827;2411.719;222.566;602.93;-207.728;0.9383;0.4815;0.1481;0.929;0.9599;34.73450399;36.62178391;3302.174;568.116;1291.992;2325.586;36.1186;1.5267;1636.523;2067.188;430.664;1033.594;35.6426;36.5424;0.8417;2;T_doliatus;G7_1_T_doliatus;2_T_doliatus;T0007.mpeg
7;Spectrogram 1;1;0;3.8;2.997;2153.32;2521.015;1.8775;4.489;1.442;0.555;3100.781;385.781;689.062;-326.43;0.9565;0.4845;0.1429;0.8851;0.972;50.24538616;52.12291269;3124.638;603.623;1378.125;2325.586;51.6063;1.5499;1636.523;1981.055;344.531;947.461;51.1535;52.0649;0.7488;2;T_doliatus;G7_1_T_doliatus;2_T_doliatus;T0007.mpeg
8;Spectrogram 1;1;1;3.94;2.848;2153.32;2556.522;2.0336;4.267;1.467;0.725;2325.586;222.566;516.797;-252.241;0.9456;0.4527;0.2006;0.9284;0.9685;63.58328994;65.61687063;3053.623;497.101;1291.992;2325.586;65.0043;1.5557;1550.391;1981.055;430.664;1033.594;64.505;65.5499;0.9636;2;T_doliatus;G7_1_T_doliatus;2_T_doliatus;T0007.mpeg
9;Spectrogram 1;1;1;3.846;3.045;2153.32;2698.551;2.6383;4.505;1.396;0.263;2756.25;385.781;516.797;-341.268;0.9603;0.457;0.1325;0.8874;0.9757;65.71440447;68.352695;3160.145;461.594;1291.992;2411.719;67.5643;2.2175;1722.656;2067.188;344.531;1119.727;66.9199;68.2841;1.132;1;T_doliatus;G7_2_T_doliatus;1_T_doliatus;T0007.mpeg
10;Spectrogram 1;1;0;4.012;3.066;2239.453;2592.029;2.1067;4.413;1.411;0.247;3014.648;341.268;430.664;-415.456;0.9503;0.442;0.1409;0.9448;0.9724;74.76542475;76.87215582;3018.116;426.087;1291.992;2325.586;76.2775;1.7473;1550.391;2067.188;516.797;1033.594;75.697;76.8116;1.0565;2;T_doliatus;G7_1_T_doliatus;2_T_doliatus;T0007.mpeg
11;Spectrogram 1;1;1;4.014;3.025;2153.32;2414.492;1.9897;4.319;1.447;0.87;2928.516;400.619;602.93;-370.943;0.9591;0.462;0.1374;0.9444;0.9766;85.33282952;87.32251998;2947.101;532.609;1291.992;2411.719;86.773;1.666;1550.391;2153.32;602.93;1119.727;86.2505;87.2722;0.9578;2;T_doliatus;G7_1_T_doliatus;2_T_doliatus;T0007.mpeg
12;Spectrogram 1;1;1;3.84;3.036;2239.453;2414.493;2.7748;4.486;1.468;0.312;2928.516;385.781;602.93;-400.619;0.956;0.434;0.1216;0.847;0.9727;87.44931398;90.22415189;2982.609;568.116;1291.992;2411.719;89.2459;2.3568;1636.523;1981.055;344.531;1119.727;88.6538;90.1457;1.1436;1;T_doliatus;G7_2_T_doliatus;1_T_doliatus;T0007.mpeg
13;Spectrogram 1;1;0;4.055;3.065;2067.188;2556.522;2.0287;4.45;1.495;0.81;2842.383;400.619;516.797;-267.079;0.9542;0.5301;0.1375;0.9341;0.9656;93.92796001;95.956664;3053.623;497.101;1291.992;2411.719;95.434;1.6776;1550.391;2153.32;602.93;1119.727;95.0044;95.8868;0.8185;2;T_doliatus;G7_1_T_doliatus;2_T_doliatus;T0007.mpeg
14;Spectrogram 1;1;0;3.903;3.008;2239.453;2485.507;2.0238;4.349;1.467;0.812;2842.383;415.456;430.664;-311.592;0.9339;0.5374;0.2213;0.931;0.9598;108.4889194;110.5127467;2911.594;426.087;1291.992;2325.586;109.9987;1.4919;1550.391;2067.188;516.797;1033.594;109.575;110.4283;0.7953;2;T_doliatus;G7_1_T_doliatus;2_T_doliatus;T0007.mpeg
1;Spectrogram 1;1;1;3.739;3.429;2325.586;2326.5;2.2178;4.348;1.475;0.974;2928.516;370.943;689.062;-356.105;0.79;0.3832;0.1706;0.7244;0.874;11.7958658;14.01368038;2979.6;653.1;1291.992;2670.117;13.0322;1.5557;2153.32;2497.852;344.531;1378.125;12.6491;13.7346;0.7546;2;H_atricapillus;G8_1_H_atricapillus;2_H_atricapillus;T0008.WAV
2;Spectrogram 1;1;1;3.928;3.35;2325.586;2163.3;2.0313;4.332;1.453;-0.595;2928.516;341.268;861.328;-326.43;0.1404;0.0774;0.0143;0.5501;0.8682;13.26059069;15.29186011;3020.4;857.1;1550.391;2756.25;13.6823;1.7299;2153.32;2497.852;344.531;1205.859;13.4211;15.0233;0.9578;1;H_atricapillus;G8_2_H_atricapillus;1_H_atricapillus;T0008.WAV
3;Spectrogram 1;1;0;3.604;3.219;2411.719;2110.1;2.128;4.316;1.32;0.081;2583.984;222.566;1119.727;-222.566;0.8142;0.4153;0.2158;0.7596;0.8934;22.25621242;24.38420896;3204.3;1094.2;1722.656;2583.984;23.5857;1.4396;2067.188;2411.719;344.531;861.328;23.1387;24.1545;0.7314;2;H_atricapillus;G8_1_H_atricapillus;2_H_atricapillus;T0008.WAV
4;Spectrogram 1;1;1;3.385;3.183;2411.719;2149.2;2.1418;4.266;1.338;0.485;2928.516;341.268;861.328;-326.43;0.8995;0.4185;0.1902;0.8016;0.9647;64.17321244;66.31502714;3008.9;859.7;1808.789;2583.984;65.5151;1.6544;2239.453;2497.852;258.398;775.195;65.0681;66.2349;0.8185;2;H_atricapillus;G8_1_H_atricapillus;2_H_atricapillus;T0008.WAV
5;Spectrogram 1;1;1;3.626;3.179;2497.852;2071.1;1.9207;4.228;1.373;-0.631;2842.383;252.241;1033.594;-252.241;0.7697;0.4394;0.1394;0.7788;0.9212;66.37029978;68.29102392;3087.1;1016;1808.789;2756.25;67.6165;1.4977;2239.453;2583.984;344.531;947.461;67.216;68.1389;0.6502;1;H_atricapillus;G8_2_H_atricapillus;1_H_atricapillus;T0008.WAV
1;Spectrogram 1;1;0;3.468;3.169;2497.852;2489.7;1.9873;4.454;1.365;0.392;2928.516;252.241;689.062;-207.728;0.6628;0.4692;0.2757;0.7243;0.8622;30.0093621;31.99662369;3142.8;653.1;1808.789;2583.984;31.2076;1.161;2067.188;2497.852;430.664;775.195;30.9406;31.7184;0.505;2;H_atricapillus;G9_1_H_atricapillus;2_H_atricapillus;T0009.mpeg
2;Spectrogram 1;1;0;3.397;3.188;2325.586;2653;1.9317;4.499;1.348;-0.27;2583.984;311.592;775.195;-311.592;0.7946;0.4532;0.2628;0.7583;0.8429;50.06850436;52.00017821;3387.7;734.7;1894.922;2583.984;51.2813;1.1146;2067.188;2411.719;344.531;689.062;50.9446;51.6934;0.5863;2;H_atricapillus;G9_1_H_atricapillus;2_H_atricapillus;T0009.mpeg
